run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8
199.0,58.0,19.0,82.0,3.0,28.0,230.0,69.0
108.0,223.0,188.0,170.0,185.0,71.0,88.0,201.0
44.0,102.0,73.0,58.0,223.0,238.0,14.0,36.0
231.0,15.0,206.0,223.0,67.0,23.0,197.0,112.0
77.0,176.0,112.0,101.0,114.0,178.0,63.0,153.0
156.0,241.0,35.0,146.0,29.0,61.0,131.0,78.0
3.0,67.0,159.0,35.0,196.0,134.0,249.0,222.0
187.0,138.0,227.0,192.0,81.0,209.0,106.0,43.0
62.0,209.0,64.0,64.0,239.0,42.0,29.0,190.0
134.0,52.0,143.0,211.0,170.0,88.0,175.0,8.0
249.0,88.0,8.0,128.0,42.0,251.0,52.0,134.0
18.0,195.0,196.0,3.0,105.0,16.0,222.0,251.0
96.0,124.0,51.0,238.0,157.0,157.0,144.0,67.0
210.0,7.0,181.0,77.0,216.0,74.0,9.0,176.0
41.0,163.0,104.0,155.0,8.0,121.0,238.0,99.0
173.0,236.0,233.0,42.0,132.0,196.0,81.0,214.0
119.0,48.0,27.0,189.0,73.0,37.0,193.0,52.0
82.0,99.0,170.0,114.0,194.0,82.0,35.0,165.0
236.0,181.0,89.0,26.0,248.0,243.0,167.0,29.0
58.0,27.0,146.0,201.0,61.0,8.0,112.0,241.0
147.0,154.0,212.0,53.0,17.0,173.0,47.0,85.0
200.0,212.0,42.0,167.0,146.0,54.0,204.0,197.0
14.0,70.0,128.0,89.0,189.0,110.0,70.0,14.0
105.0,115.0,76.0,7.0,103.0,199.0,128.0,138.0
168.0,246.0,199.0,243.0,227.0,30.0,241.0,73.0
31.0,39.0,57.0,136.0,36.0,68.0,19.0,219.0
253.0,186.0,237.0,70.0,84.0,235.0,156.0,46.0
70.0,63.0,16.0,218.0,211.0,21.0,98.0,181.0
192.0,128.0,161.0,31.0,159.0,182.0,215.0,107.0
49.0,205.0,93.0,175.0,55.0,63.0,57.0,234.0
128.0,17.0,221.0,97.0,128.0,128.0,181.0,58.0
216.0,91.0,38.0,252.0,245.0,205.0,4.0,149.0
85.0,172.0,175.0,45.0,70.0,46.0,137.0,22.0
153.0,230.0,107.0,160.0,22.0,91.0,227.0,206.0
6.0,54.0,250.0,108.0,176.0,247.0,66.0,91.0
244.0,143.0,22.0,23.0,93.0,12.0,23.0,170.0
37.0,82.0,185.0,195.0,202.0,151.0,195.0,35.0
112.0,199.0,66.0,81.0,47.0,78.0,108.0,124.0
179.0,36.0,139.0,229.0,117.0,125.0,43.0,248.0
64.0,108.0,203.0,14.0,164.0,218.0,251.0,63.0
196.0,167.0,54.0,140.0,237.0,35.0,84.0,195.0
23.0,248.0,115.0,62.0,14.0,66.0,160.0,10.0
140.0,22.0,243.0,206.0,138.0,230.0,31.0,155.0
207.0,135.0,31.0,117.0,79.0,25.0,210.0,82.0
55.0,189.0,168.0,38.0,195.0,186.0,149.0,229.0
167.0,61.0,84.0,184.0,58.0,57.0,75.0,41.0
88.0,217.0,192.0,73.0,219.0,100.0,120.0,187.0
235.0,44.0,12.0,153.0,108.0,215.0,239.0,116.0
102.0,96.0,153.0,246.0,31.0,40.0,13.0,203.0
11.0,157.0,71.0,19.0,173.0,85.0,188.0,54.0
159.0,3.0,217.0,131.0,87.0,240.0,54.0,161.0
46.0,74.0,46.0,56.0,144.0,5.0,229.0,27.0
221.0,220.0,134.0,213.0,253.0,159.0,101.0,243.0
75.0,119.0,99.0,99.0,41.0,72.0,170.0,76.0
131.0,29.0,226.0,172.0,120.0,117.0,39.0,192.0
186.0,183.0,60.0,43.0,197.0,202.0,246.0,5.0
27.0,50.0,179.0,235.0,65.0,31.0,68.0,131.0
248.0,243.0,25.0,86.0,10.0,64.0,135.0,97.0
63.0,87.0,147.0,148.0,183.0,233.0,8.0,217.0
198.0,162.0,108.0,25.0,230.0,18.0,199.0,48.0
118.0,105.0,239.0,199.0,49.0,176.0,91.0,174.0
36.0,13.0,37.0,67.0,152.0,55.0,152.0,66.0
152.0,198.0,165.0,220.0,24.0,132.0,25.0,238.0
219.0,71.0,79.0,110.0,206.0,211.0,213.0,31.0
79.0,139.0,201.0,34.0,112.0,44.0,117.0,144.0
171.0,226.0,52.0,188.0,168.0,97.0,44.0,88.0
4.0,38.0,187.0,79.0,243.0,253.0,178.0,211.0
242.0,170.0,14.0,241.0,37.0,10.0,62.0,19.0
93.0,93.0,124.0,51.0,89.0,155.0,234.0,157.0
137.0,215.0,210.0,162.0,126.0,70.0,140.0,79.0
19.0,57.0,43.0,93.0,179.0,123.0,17.0,225.0
208.0,126.0,156.0,10.0,54.0,194.0,206.0,42.0
57.0,8.0,88.0,227.0,214.0,29.0,79.0,189.0
124.0,187.0,230.0,126.0,143.0,62.0,163.0,103.0
181.0,64.0,9.0,57.0,4.0,237.0,48.0,236.0
42.0,234.0,173.0,203.0,233.0,22.0,125.0,55.0
195.0,41.0,62.0,144.0,77.0,180.0,243.0,168.0
68.0,152.0,144.0,29.0,160.0,51.0,96.0,23.0
229.0,79.0,97.0,178.0,95.0,104.0,30.0,201.0
107.0,196.0,219.0,65.0,188.0,222.0,186.0,71.0
148.0,112.0,34.0,215.0,26.0,48.0,55.0,147.0
16.0,23.0,182.0,105.0,119.0,83.0,219.0,13.0
251.0,245.0,75.0,36.0,200.0,246.0,103.0,252.0
84.0,68.0,111.0,191.0,68.0,15.0,147.0,84.0
163.0,133.0,247.0,84.0,147.0,165.0,11.0,196.0
30.0,207.0,20.0,247.0,235.0,50.0,235.0,38.0
215.0,46.0,195.0,13.0,51.0,111.0,72.0,162.0
50.0,175.0,58.0,169.0,106.0,198.0,158.0,119.0
139.0,99.0,133.0,52.0,174.0,36.0,41.0,208.0
97.0,18.0,105.0,232.0,15.0,79.0,200.0,50.0
