run 1,run 2,run 3,run 4,run 5,run 6,run 7,run 8
211.0,147.0,243.0,173.0,173.0,158.0,109.0,147.0
151.0,139.0,173.0,182.0,183.0,207.0,184.0,173.0
69.0,164.0,134.0,170.0,97.0,184.0,73.0,127.0
94.0,173.0,227.0,128.0,157.0,173.0,173.0,193.0
92.0,187.0,149.0,187.0,173.0,198.0,71.0,187.0
173.0,142.0,33.0,117.0,173.0,145.0,242.0,71.0
143.0,173.0,159.0,173.0,87.0,173.0,137.0,137.0
208.0,137.0,137.0,193.0,241.0,137.0,184.0,57.0
139.0,74.0,177.0,93.0,173.0,188.0,114.0,173.0
253.0,213.0,27.0,181.0,187.0,246.0,152.0,158.0
41.0,142.0,141.0,154.0,172.0,173.0,154.0,173.0
173.0,122.0,167.0,157.0,137.0,173.0,121.0,173.0
47.0,123.0,137.0,173.0,173.0,177.0,47.0,143.0
137.0,184.0,173.0,87.0,173.0,203.0,119.0,203.0
173.0,137.0,173.0,184.0,143.0,113.0,173.0,143.0
157.0,74.0,143.0,143.0,153.0,241.0,62.0,187.0
214.0,183.0,71.0,171.0,173.0,213.0,157.0,133.0
73.0,114.0,191.0,173.0,57.0,175.0,77.0,244.0
102.0,183.0,173.0,96.0,178.0,203.0,213.0,14.0
137.0,151.0,107.0,173.0,173.0,149.0,59.0,214.0
214.0,217.0,204.0,173.0,142.0,163.0,207.0,143.0
47.0,179.0,186.0,207.0,142.0,143.0,173.0,173.0
147.0,94.0,127.0,178.0,112.0,137.0,173.0,141.0
181.0,146.0,224.0,153.0,138.0,147.0,137.0,4.0
173.0,124.0,241.0,214.0,143.0,163.0,173.0,133.0
173.0,127.0,173.0,173.0,73.0,117.0,173.0,214.0
112.0,173.0,173.0,142.0,46.0,173.0,208.0,104.0
183.0,146.0,137.0,174.0,154.0,127.0,142.0,203.0
173.0,183.0,137.0,173.0,173.0,174.0,204.0,102.0
173.0,119.0,154.0,173.0,159.0,173.0,173.0,173.0
111.0,103.0,173.0,141.0,173.0,57.0,184.0,173.0
54.0,165.0,137.0,167.0,149.0,184.0,124.0,173.0
142.0,209.0,183.0,146.0,137.0,152.0,47.0,208.0
219.0,184.0,116.0,141.0,173.0,147.0,167.0,143.0
186.0,93.0,187.0,197.0,92.0,197.0,142.0,184.0
172.0,172.0,67.0,147.0,173.0,173.0,157.0,156.0
143.0,183.0,42.0,143.0,143.0,173.0,118.0,123.0
31.0,231.0,217.0,94.0,217.0,174.0,173.0,113.0
117.0,173.0,182.0,84.0,123.0,137.0,173.0,187.0
137.0,173.0,187.0,134.0,214.0,237.0,74.0,149.0
173.0,183.0,173.0,38.0,114.0,137.0,191.0,173.0
183.0,137.0,73.0,197.0,177.0,173.0,179.0,47.0
182.0,177.0,94.0,214.0,173.0,152.0,173.0,174.0
129.0,203.0,132.0,241.0,137.0,73.0,163.0,77.0
217.0,89.0,203.0,237.0,183.0,184.0,173.0,173.0
163.0,203.0,113.0,86.0,22.0,227.0,173.0,173.0
142.0,123.0,173.0,204.0,142.0,69.0,173.0,173.0
73.0,57.0,54.0,179.0,109.0,137.0,142.0,214.0
143.0,147.0,67.0,113.0,157.0,143.0,183.0,137.0
84.0,163.0,203.0,203.0,196.0,31.0,33.0,147.0
73.0,217.0,170.0,173.0,244.0,163.0,137.0,237.0
137.0,204.0,237.0,191.0,173.0,95.0,143.0,164.0
22.0,194.0,137.0,147.0,173.0,143.0,111.0,127.0
213.0,241.0,173.0,173.0,179.0,137.0,233.0,164.0
174.0,198.0,204.0,154.0,173.0,117.0,214.0,173.0
163.0,213.0,173.0,173.0,4.0,184.0,214.0,42.0
142.0,166.0,142.0,199.0,163.0,91.0,173.0,156.0
143.0,173.0,134.0,173.0,184.0,193.0,137.0,76.0
34.0,173.0,173.0,71.0,67.0,118.0,42.0,37.0
171.0,203.0,178.0,142.0,147.0,17.0,181.0,163.0
174.0,137.0,174.0,173.0,97.0,181.0,198.0,137.0
164.0,203.0,173.0,189.0,173.0,214.0,183.0,137.0
173.0,149.0,137.0,203.0,154.0,92.0,147.0,172.0
247.0,187.0,243.0,183.0,184.0,139.0,108.0,243.0
74.0,184.0,121.0,173.0,173.0,87.0,168.0,203.0
172.0,173.0,157.0,208.0,174.0,163.0,77.0,198.0
172.0,117.0,154.0,173.0,173.0,170.0,154.0,173.0
193.0,174.0,217.0,64.0,54.0,173.0,152.0,97.0
172.0,142.0,214.0,143.0,87.0,173.0,67.0,124.0
